date,demand
2015-11-23,114406.825
2015-11-24,118894.305
2015-11-25,124728.875
2015-11-26,112907.145
2015-11-27,117492.82
2015-11-28,105011.195
2015-11-29,102162.53
2015-11-30,122452.415
2015-12-01,117115.62
2015-12-02,115230.125
2015-12-03,121699.425
2015-12-04,129148.52
2015-12-05,115606.005
2015-12-06,112025.29
2015-12-07,129059.645
2015-12-08,136800.91
2015-12-09,125965.02
2015-12-10,125807.495
2015-12-11,116597.81
2015-12-12,106139.41
2015-12-13,105218.515
2015-12-14,125784.96
2015-12-15,129077.41
2015-12-16,135930.08
2015-12-17,152366.3
2015-12-18,158052.89
2015-12-19,154924.89
2015-12-20,133421.03
2015-12-21,113802.21
2015-12-22,119477.515
2015-12-23,126553.115
2015-12-24,134583.25
2015-12-25,119950.37
2015-12-26,95093.295
2015-12-27,96394.94
2015-12-28,100048.44
2015-12-29,111647.54
2015-12-30,128552.135
2015-12-31,146473.835
2016-01-01,116040.925
2016-01-02,99622.64
2016-01-03,97656.445
2016-01-04,110932.505
2016-01-05,117873.58
2016-01-06,115064.265
2016-01-07,112392.695
2016-01-08,111879.54
2016-01-09,105482.695
2016-01-10,113049.145
2016-01-11,141133.085
2016-01-12,135006.11
2016-01-13,160011.075
2016-01-14,120396.335
2016-01-15,113244.79
2016-01-16,103046.17
2016-01-17,114097.07
2016-01-18,147817.585
2016-01-19,148612.37
2016-01-20,142471.51
2016-01-21,139450.615
2016-01-22,129135.185
2016-01-23,108097.845
2016-01-24,103396.3
2016-01-25,112649.6
2016-01-26,110152.815
2016-01-27,133718.035
2016-01-28,134169.83
2016-01-29,123615.21
2016-01-30,107579.345
2016-01-31,101279.65
2016-02-01,121942.895
2016-02-02,133989.155
2016-02-03,122594.475
2016-02-04,119919.605
2016-02-05,126330.55
2016-02-06,123737.01
2016-02-07,124436.81
2016-02-08,129327.225
2016-02-09,131271.265
2016-02-10,132265.005
2016-02-11,131003.79
2016-02-12,133845.52
2016-02-13,120839.995
2016-02-14,104364.735
2016-02-15,120863.325
2016-02-16,117062.035
2016-02-17,119481.79
2016-02-18,125964.185
2016-02-19,122991.66
2016-02-20,105911.71
2016-02-21,107884.355
2016-02-22,130527.325
2016-02-23,156924.83
2016-02-24,152419.415
2016-02-25,138064.855
2016-02-26,122575.935
2016-02-27,110545.84
2016-02-28,105781.985
2016-02-29,125400.08
2016-03-01,142242.595
2016-03-02,145182.98
2016-03-03,136226.12
2016-03-04,149376.57
2016-03-05,124692.315
2016-03-06,117707.95
2016-03-07,131465.825
2016-03-08,160285.015
2016-03-09,152599.125
2016-03-10,135635.705
2016-03-11,141414.35
2016-03-12,119690.755
2016-03-13,111329.62
2016-03-14,105388.57
2016-03-15,123073.98
2016-03-16,135047.625
2016-03-17,143184.805
2016-03-18,118189.72
2016-03-19,105484.1
2016-03-20,100394.06
2016-03-21,117796.715
2016-03-22,124081.46
2016-03-23,126074.895
2016-03-24,125072.73
2016-03-25,101740.89
2016-03-26,102726.745
2016-03-27,98324.645
2016-03-28,102746.6
2016-03-29,118281.13
2016-03-30,122625.21
2016-03-31,122964.715
2016-04-01,116321.6
2016-04-02,102832.72
2016-04-03,102084.0
2016-04-04,120445.735
2016-04-05,120371.235
2016-04-06,125657.125
2016-04-07,125663.33
2016-04-08,124266.885
2016-04-09,109044.9
2016-04-10,99845.345
2016-04-11,118614.005
2016-04-12,123808.76
2016-04-13,124686.63
2016-04-14,126519.065
2016-04-15,124721.485
2016-04-16,108525.965
2016-04-17,100526.305
2016-04-18,123441.82
2016-04-19,126846.445
